Line in Master,Company,Industry,Code,Metrics,Reported,Quantitative,MonetaryLoss
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-140a.4,Description of water management risks and discussion of strategies and practices to mitigate those risks,1,0.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-220a.1,Description of policies and practices relating to behavioral advertising and user privacy,0,0.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-220a.2,Number of users whose information is used for secondary purposes,0,1.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-220a.3,Total amount of monetary losses as a result of legal proceedings associated with user privacy,0,1.0,1.0
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-220a.4,"(1) Number of law enforcement requests for user information, (2) number of users whose information was requested, (3) percentage resulting in disclosure",0,1.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-220a.5,"List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring",0,0.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-220a.6,"Number of government requests to remove content, percentage compliance with requests",0,1.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-230a.1,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of users affected",0,1.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-230a.2,"Description of approach to identifying and addressing data security risks, including use of third-party cybersecurity standards",0,0.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-330a.1,Percentage of employees that are foreign nationals,0,1.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-330a.2,Employee engagement as a percentage,0,1.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-330a.3,"Percentage of gender and racial/ethnic group representation for (1) management, (2) technical staff, and (3) all other employees",0,1.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",1,1.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-130a.2,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",1,1.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-130a.3,Discussion of the integration of environmental considerations into strategic planning for data center needs,1,0.0,
209.0,CyrusOne Inc,INTERNET MEDIA & SERVICES,TC-IM-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations,0,1.0,1.0
213.0,Danaher Corp,MEDICAL EQUIPMENT & SUPPLIES,HC-MS-240a.1,Ratio of weighted average rate of net price increases (for all products) to the annual increase in the U.S. Consumer Price Index,0,1.0,
213.0,Danaher Corp,MEDICAL EQUIPMENT & SUPPLIES,HC-MS-240a.2,Description of how price information for each product is disclosed to customers or to their agents,0,0.0,
213.0,Danaher Corp,MEDICAL EQUIPMENT & SUPPLIES,HC-MS-270a.1,Total amount of monetary losses as a result of legal proceedings associated with bribery or corruption,1,1.0,1.0
213.0,Danaher Corp,MEDICAL EQUIPMENT & SUPPLIES,HC-MS-510a.2,Description of code of ethics governing interactions with health care professionals,1,0.0,
213.0,Danaher Corp,MEDICAL EQUIPMENT & SUPPLIES,HC-MS-510a.1,Total amount of monetary losses as a result of legal proceedings associated with false marketing claims,1,1.0,1.0
